where-were,89.0310786106033
to-too-two,95.6381071177984
hour-our,95.4033771106942
by-buy-bye,98.7648913805186
their-there,90.4513888888889
knew-new,96.0496245510937
later-latter,77.9359430604982
weather-whether,95.1907131011609
loose-lose,87.378640776699
hear-here,88.9908256880734
threw-through,98.8137603795967
brake-break,95.8333333333333
peace-piece,86.7256637168142
cite-site-sight,88.7987012987013
passed-past,83.0459770114943
sea-see,91.8016194331984
quiet-quit-quite,79.2079207920792
weak-week,88.6153846153846
coarse-course,96.4824120603015
fourth-forth,92.9292929292929
council-counsel,89.0625
principal-principle,70.3389830508475
vain-vane-vein,79.1666666666667
rain-reign-rein,80.4878048780488
desert-dessert,89.7959183673469
complement-compliment,92.3076923076923
plaine-plane,100
waist-waste,87.8787878787879
